,,,,,Ease of doing business,,,,,Starting a business,,,,,,,,,,,,,,,,Dealing with construction permits,,,,,,,,,,,,,,,,,Getting electricity,,,,,,,,,,,,,,,,,,,,,Registering property,,,,,,,,,,,,,,,,,,,Getting credit,,,,,,,,,,,,,,,Protecting minority investors,,,,,,,,,,,,,,,,,,,,,Paying taxes,,,,,,,,,,,,,,,,,,,,,Trading across borders ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enforcing contracts,,,,,,,,,,,,,,,,,,,,,,,,,Resolving insolvency,,,,,,,,,,,,,
CHL,Chile,High income: OECD,High income,2013,,,,,71.47,,87.07,8,7.5,7,8,7.5,7,0,58.82,92.96,96.5,58.82,92.96,96.5,100,,,71.44,12,195,1.8,,,,,,,,72,51.3,91.01,,,,85.02,5,43,58.8,,,,,,,,,,,,66.67,89.13,99.27,,,,,78.53,6,31,1.3,,,,,,,,58.33,85.65,91.63,,,,,62.5,6,,4,,37.4,3.5,10,,60,66.67,,,,,66.67,8,6,6,,,,,,,7,,80,60,60,,,,,,,84.57,7,291,27.7,21.2,3.8,2.7,,,,,,93.33,62.6,97.78,,,,,,,81.4,5,5,1009,958,15,12,,,,,,,,,66.67,76.92,86.94,89.53,81.25,87.1,,,,,,,,,,,,64.98,36,480,30,270,180,25.6,15,5,5.6,,,,,,,,53.13,70.49,71.32,,,,,32.47,0,3.2,14.5,30.2,,,,,,32.47,
CHL,Chile,High income: OECD,High income,2014,,,,71.59,72.09,,87.21,8,7.5,5.9,8,7.5,5.9,0,58.82,92.96,97.04,58.82,92.96,97.04,100,,,71.67,12,195,1.7,,,,,,,,72,51.3,91.7,,,,85.04,5,43,55.6,,,,,,,,,,,,66.67,89.13,99.31,,,,,78.95,6,28.5,1.2,,,,,,,,58.33,86.84,91.68,,,,55,68.75,6,4,5,7,40.5,5.9,11,11,60,83.33,33.33,87.5,,60,66.67,8,6,6,7,9,4,2,7,5,7,6,80,60,60,70,90,40,20,,,84.57,7,291,27.7,21.2,3.8,2.6,,,,,,93.33,62.6,97.77,,,,,,,81.52,5,5,992,941,15,12,,,,,,,,,66.67,76.92,87.33,89.83,81.25,87.1,,,,,,,,,,,,64.98,36,480,30,270,180,25.6,15,5,5.6,,,,,,,,53.13,70.49,71.32,,,,47.01,31.52,0,3.2,14.5,29.3,10,2.5,4.5,1,2,31.52,62.5
CHL,Chile,High income: OECD,High income,2015,,,71.1,71.64,,,87.21,8,7.5,5.9,8,7.5,5.9,0,58.82,92.96,97.06,58.82,92.96,97.06,100,,75.5,71.78,12,195,1.6,13,2,1,2,3,1,4,72,51.3,92.03,86.67,,85.66,85.04,5,43,54,7,2,3.8,1.7,3,1,1,1,1,1,9.8,66.67,89.13,99.33,87.5,,,71.72,78.96,6,28.5,1.2,15,,2,3.5,4,5.5,,58.33,86.84,91.69,50,,,55,,,4,,7,44.7,8.8,,11,,,33.33,87.5,,60,,8,6,,7,9,4,2,7,5,,6,80,60,,70,90,40,20,,,84.03,7,291,28.9,21,5.3,2.6,,,,,,93.33,62.6,96.17,,,,,,80.56,82.05,5,5,910,860,15,12,24,36,60,54,50,50,290,290,66.67,76.92,89.11,91.27,81.25,87.1,86.39,85.36,62.89,81,87.5,92.86,72.64,75.83,,,63.94,64.98,36,480,30,270,180,25.6,15,5,5.6,9,,3,,3.5,1,1.5,53.13,70.49,71.32,50,,,47.38,,0,3.2,14.5,30,10,2.5,4.5,1,2,32.25,62.5
CHL,Chile,High income: OECD,High income,2016,,70.66,71.43,,,,87.21,8,7.5,5.9,8,7.5,5.9,0,58.82,92.96,97.06,58.82,92.96,97.06,100,,75.59,,12,195,1.5,13,2,1,2,3,1,4,72,51.3,92.4,86.67,,82.53,,5,43,53.6,6,1,4,1.6,3,1,1,1,1,1,10.1,66.67,89.13,99.34,75,,70.89,71.72,,6,28.5,1.2,15,14,2,3.5,4,5.5,-1,58.33,86.84,91.71,50,46.67,,55,,,4,,7,45.1,11.2,,11,,,33.33,87.5,,60,,8,6,,7,9,4,2,7,5,,6,80,60,,70,90,40,20,,76.74,83.55,7,291,29.9,22,5.3,2.6,26,37.7,32,0,56.34,93.33,62.6,94.71,48,33.32,44.04,100,,80.56,,,,,,,,24,36,60,54,50,50,290,290,,,,,,,86.39,85.36,62.89,81,87.5,92.86,72.64,75.83,,63.94,63.94,,,480,30,270,180,25.6,15,5,5.6,9,9,3,3,3.5,1,1.5,,70.49,71.32,50,50,,54.18,,0,3.2,14.5,31,12,2.5,4.5,2,3,33.37,75
CHL,Chile,High income: OECD,High income,2017,,71.07,,,,,87.21,8,7.5,5.9,8,7.5,5.9,0,58.82,92.96,97.05,58.82,92.96,97.05,100,,75.71,,12,195,1.4,13,2,1,2,3,1,4,72,51.3,92.87,86.67,,85.66,,5,43,52.3,7,2,3.8,1.5,3,1,1,1,1,1,10.5,66.67,89.13,99.35,87.5,,70.89,,,6,28.5,1.2,15,14,2,3.5,4,5.5,-1,58.33,86.84,91.73,50,46.67,,55,,,4,,7,48.4,12.4,,11,,,33.33,87.5,,60,,8,6,,7,9,4,2,7,5,,6,80,60,,70,90,40,20,,76.23,,7,291,31.4,23.6,5.1,2.6,26,37.7,32,0,56.34,93.33,62.6,92.64,48,33.32,44.04,100,,80.56,,,,,,,,24,36,60,54,50,50,290,290,,,,,,,86.39,85.36,62.89,81,87.5,92.86,72.64,75.83,,63.94,,,,480,30,270,180,25.6,15,5,5.6,9,9,3,3,3.5,1,1.5,,70.49,71.32,50,50,,55.51,,0,3.2,14.5,33.5,12,2.5,4.5,2,3,36.02,75
CHL,Chile,High income: OECD,High income,2018,,71.44,,,,,87.21,8,7.5,5.9,8,7.5,5.9,0,58.82,92.96,97.05,58.82,92.96,97.05,100,,75.82,,12,195,1.3,13,2,1,2,3,1,4,72,51.3,93.3,86.67,,85.67,,5,43,50.4,7,2,3.4,1.3,3,1,1,1,1,1,9.9,66.67,89.13,99.38,87.5,,70.9,,,6,28.5,1.2,15,14,2,3.5,4,5.5,-1,58.33,86.84,91.75,50,46.67,,55,,,4,,7,49.5,14.3,,11,,,33.33,87.5,,60,,8,6,,7,9,4,2,7,5,,6,80,60,,70,90,40,20,,75.84,,7,291,33,25.2,5.1,2.6,26,37.7,30.5,0,57.03,93.33,62.6,90.41,48,33.32,46.79,100,,80.56,,,,,,,,24,36,60,54,50,50,290,290,,,,,,,86.39,85.36,62.89,81,87.5,92.86,72.64,75.83,,63.94,,,,480,30,270,180,25.6,15,5,5.6,9,9,,3,3.5,1,1.5,,70.49,71.32,50,50,,59.47,,0,2,14.5,40.8,12,2.5,4.5,2,3,43.93,75
CHL,Chile,High income: OECD,High income,2019,56,71.81,,,,72,89.08,7,6,5.7,7,6,5.7,0,64.71,94.47,97.13,64.71,94.47,97.13,100,33,75.9,,12,195,1.3,13,2,1,2,3,1,4,72,51.3,93.65,86.67,36,85.67,,5,43,48.9,7,2,2.3,1.7,3,1,1,1,1,1,9.7,66.67,89.13,99.4,87.5,61,70.9,,,6,28.5,1.2,15,14,2,3.5,4,5.5,-1,58.33,86.84,91.76,50,46.67,85,55,,,4,,7,50.2,32.4,,11,,,33.33,87.5,64,60,,8,6,,7,9,4,2,7,5,,6,80,60,,70,90,40,20,76,75.28,,7,296,34,26.2,5.1,2.6,26,37.7,30.5,0,57.03,93.33,61.82,88.92,48,33.32,46.79,100,71,80.56,,,,,,,,24,36,60,54,50,50,290,290,,,,,,,86.39,85.36,62.89,81,87.5,92.86,72.64,75.83,49,65.79,,,,480,30,270,180,25.6,15,5,5.6,10,10,,3,3.5,2,1.5,,70.49,71.32,55.56,55.56,51,59.9,,0,2,14.5,41.6,12,2.5,4.5,2,3,44.8,75
CHIN,China,East Asia & Pacific,Upper middle income,2014,,,,59.92,59.34,,72.16,11,32.4,1.9,11,32.4,1.9,78.2,41.18,67.99,99.03,41.18,67.99,99.03,80.45,,,29.93,28.6,265.9,9.4,,,,,,,,5.8,30.86,53.11,,,,66.19,5.5,143.2,499.5,,,,,,,,,,,,59.17,45.57,93.83,,,,,74.41,5,23.5,4.9,,,,,,,,66.67,89.26,67.31,,,,50,62.5,5,4,5,6,30.2,0,10,10,50,83.33,33.33,75,,51.67,50,10,1,4,4,4,3,9,5,5.3,5,5.2,100,10,40,40,40,30,90,,,60.9,9,318,68.8,10.6,49.8,8.5,,,,,,90,58.42,34.28,,,,,,,71.58,8,5,838.1,814.6,21,24,,,,,,,,,33.33,76.92,90.67,92.08,68.75,67.74,,,,,,,,,,,,67.02,37,496.3,32.8,223.5,240,16.2,8.7,5,2.5,,,,,,,,50,69.16,81.91,,,,55.31,38.75,0,1.7,22,36,11.5,3,5,2.5,1,38.75,71.88
CHIN,China,East Asia & Pacific,Upper middle income,2015,,,62.93,61.53,,,80.87,9,29.4,0.9,9,29.4,0.9,0,52.94,71.01,99.53,52.94,71.01,99.53,100,,38,30.67,28.6,265.9,8.9,9,1,1,2,3,2,0,5.8,30.86,55.35,60,,65.39,66.35,5.5,143.2,459.4,5,2,1.3,0.4,3,1,1,1,0,0,14.3,59.17,45.57,94.33,62.5,,,74.52,74.42,5,23.5,4.9,22.5,,7,4,4,7.5,,66.67,89.26,67.32,74.83,,,50,,,4,,6,33.2,0,,10,,,33.33,75,,55,,10,1,,4,6,3,9,5,6,,5.5,100,10,,40,60,30,90,,,63.98,9,261,68.6,10.6,49.5,8.5,,,,,,90,67.23,34.7,,,,,,69.91,71.68,8,5,822.9,800,21,24,21.2,65.7,25.9,92.3,84.6,170.9,484.1,745,33.33,76.92,91,92.34,68.75,67.74,88.05,72.93,84.32,67.27,78.86,75.59,54.33,37.92,,,76.28,67.02,37,496.3,32.8,223.5,240,16.2,8.7,5,2.5,14,,5,,4,2,3,50,69.16,81.91,77.78,,,55.31,,0,1.7,22,36,11.5,3,5,2.5,1,38.75,71.88
CHIN,China,East Asia & Pacific,Upper middle income,2016,,62.95,63.34,,,,80.9,9,29.4,0.7,9,29.4,0.7,0,52.94,71.01,99.65,52.94,71.01,99.65,100,,39.57,,28.6,265.9,8.4,9.6,1.6,1,2,3,2,0,5.8,30.86,57.93,63.67,,65.53,,5.5,143.2,413.3,5,2,1.3,0.4,3,1,1,1,0,0,14.5,59.17,45.57,94.9,62.5,,74.53,74.53,,5,23.5,4.9,22.5,22.5,7,4,4,7.5,0,66.67,89.26,67.34,74.83,74.83,,50,,,4,,6,89.5,0,,10,,,33.33,75,,55,,10,1,,4,6,3,9,5,6,,5.5,100,10,,40,60,30,90,,60.54,64.39,9,261,67.9,10.9,48.5,8.5,No VAT refund per case study scenario,No VAT refund per case study scenario,3.7,0,48.98,90,67.23,35.94,0,0,95.92,100,,69.91,,,,,,,,21.2,65.7,25.9,92.3,84.6,170.9,484.1,745,,,,,,,88.05,72.93,84.32,67.27,78.86,75.59,54.33,37.92,,78.14,78.14,,,496.3,32.8,223.5,240,16.2,8.7,5,2.5,15,15,5,5,4,3,3,,69.16,81.91,83.33,83.33,,55.43,,0,1.7,22,36.2,11.5,3,5,2.5,1,38.99,71.88
CHIN,China,East Asia & Pacific,Upper middle income,2017,,64.47,,,,,84.46,7,26.9,0.7,7,26.9,0.7,0,64.71,73.47,99.67,64.71,73.47,99.67,100,,39.89,,28.6,265.9,8.2,9.6,1.6,1,2,3,2,0,5.8,30.86,59.21,63.67,,65.6,,5.5,143.2,390.4,5,2,1.6,0.4,3,1,1,1,0,0,14.3,59.17,45.57,95.18,62.5,,74.53,,,5,23.5,4.9,22.5,22.5,7,4,4,7.5,0,66.67,89.26,67.35,74.83,74.83,,60,,,4,,8,91.1,0,,12,,,33.33,100,,55,,10,1,,4,6,3,9,5,6,,5.5,100,10,,40,60,30,90,,60.5,,9,259,68.2,10.8,48.9,8.5,No VAT refund per case study scenario,No VAT refund per case study scenario,3.7,0,48.98,90,67.55,35.46,0,0,95.92,100,,69.91,,,,,,,,21.2,65.7,25.9,92.3,84.6,170.9,484.1,745,,,,,,,88.05,72.93,84.32,67.27,78.86,75.59,54.33,37.92,,78.97,,,,496.3,32.8,223.5,240,16.2,8.7,5,2.5,15.5,15.5,5,5,4.5,3,3,,69.16,81.91,85.83,85.83,,55.82,,0,1.7,22,36.9,11.5,3,5,2.5,1,39.77,71.88
CHIN,China,East Asia & Pacific,Upper middle income,2018,,65,,,,,85.47,7,22.9,0.6,7,22.9,0.6,0,64.71,77.49,99.7,64.71,77.49,99.7,100,,41.21,,28,261.8,7.8,9.6,1.6,1,2,3,2,0,8,32.05,61.14,63.67,,65.71,,5.5,143.2,356,5,2,1.4,0.3,3,1,1,1,0,0,15.4,59.17,45.57,95.61,62.5,,74.99,,,5,23.5,4.6,22.5,22.5,7,4,4,7.5,0,66.67,89.26,69.2,74.83,74.83,,60,,,4,,8,95.3,0,,12,,,33.33,100,,55,,10,1,,4,6,3,9,5,6,,5.5,100,10,,40,60,30,90,,62.9,,9,207,67.3,11,48.1,8.2,No VAT refund per case study scenario,No VAT refund per case study scenario,3.5,0,49.08,90,75.58,36.93,0,0,96.33,100,,69.91,,,,,,,,21.2,65.7,25.9,92.3,84.6,170.9,484.1,745,,,,,,,88.05,72.93,84.32,67.27,78.86,75.59,54.33,37.92,,78.97,,,,496.3,32.8,223.5,240,16.2,8.7,5,2.5,15.5,15.5,,5,4.5,3,3,,69.16,81.91,85.83,85.83,,55.82,,0,1.7,22,36.9,11.5,3,5,2.5,1,39.77,71.88
CHIN,China,East Asia & Pacific,Upper middle income,2019,46,73.64,,,,28,93.52,4,8.6,0.4,4,8.6,0.4,0,82.35,91.91,99.82,82.35,91.91,99.82,100,121,65.16,,20.4,155.1,2.9,11.1,2,1,2,3,2,1.1,38.6,62.8,85.26,74,14,92.01,,3,34,0,6,3,0.9,0.2,3,1,1,1,0,0,15.5,100,93.04,100,75,27,80.8,,,3.6,9,4.6,23.7,23.7,8,4,4,7.8,0,78.75,96.17,69.21,79.08,79.08,73,60,,,4,,8,98.1,0,,12,,,33.33,100,64,60,,10,1,,5,7,4,9,5.3,6.7,,6,100,10,,50,70,40,90,114,67.53,,7,142,64.9,11.5,45.4,8,No VAT refund per case study scenario,No VAT refund per case study scenario,1,0,50,93.33,85.63,41.15,0,0,100,100,65,82.59,,,,,,,,8.6,24,25.9,48,73.6,122.3,314,326,,,,,,,95.49,90.38,84.32,83.15,81.61,82.54,70.38,72.83,6,78.97,,,,496.3,32.8,223.5,240,16.2,8.7,5,2.5,15.5,15.5,,5,4.5,3,3,,69.16,81.91,85.83,85.83,61,55.82,,0,1.7,22,36.9,11.5,3,5,2.5,1,39.77,71.88
CHN_Beij,China Beijing,East Asia & Pacific,Upper middle income,2014,,,,60.04,59.46,,71.75,11,34,1.9,11,34,1.9,78.2,41.18,66.33,99.05,41.18,66.33,99.05,80.45,,,34.42,28,223,9.6,,,,,,,,8,43.23,52.04,,,,63.45,6,141,499.8,,,,,,,,,,,,50,46.52,93.83,,,,,76.69,5,13,4.6,,,,,,,,66.67,94.26,69.14,,,,50,62.5,5,4,5,6,30.2,0,10,10,50,83.33,33.33,75,,51.67,50,10,1,4,4,4,3,9,5,5.3,5,5,100,10,40,40,40,30,90,,,60.93,9,318,68.8,10.6,50,8.2,,,,,,90,58.42,34.38,,,,,,,69.98,8,5,1091,1045,21,24,,,,,,,,,33.33,76.92,85.17,87.99,68.75,67.74,,,,,,,,,,,,66.15,37,510,30,240,240,17.5,10,5,2.5,,,,,,,,50,68.03,80.43,,,,55.31,38.75,0,1.7,22,36,11.5,3,5,2.5,1,38.75,71.88
CHN_Beij,China Beijing,East Asia & Pacific,Upper middle income,2015,,,62.96,61.64,,,80.46,9,31,0.9,9,31,0.9,0,52.94,69.35,99.54,52.94,69.35,99.54,100,,41.4,35.2,28,223,9.1,9,1,1,2,3,2,0,8,43.23,54.36,60,,63.34,63.62,6,141,459.7,5,2,1.2,0.6,3,1,1,1,0,0,14.1,50,46.52,94.32,62.5,,,76.69,76.69,5,13,4.6,23,,7,4.5,4,7.5,,66.67,94.26,69.16,76.67,,,50,,,4,,6,33.2,0,,10,,,33.33,75,,55,,10,1,,4,6,3,9,5,6,,6,100,10,,40,60,30,90,,,63.87,9,261,68.8,10.6,50,8.2,,,,,,90,67.23,34.38,,,,,,68.16,70.11,8,5,1071,1026,21,24,30,80,29,117,78,196,425,690,33.33,76.92,85.6,88.32,68.75,67.74,82.95,66.95,82.1,58.37,80.51,71.94,59.93,42.5,,,75.41,66.15,37,510,30,240,240,17.5,10,5,2.5,14,,5,,4,2,3,50,68.03,80.43,77.78,,,55.31,,0,1.7,22,36,11.5,3,5,2.5,1,38.75,71.88
CHN_Beij,China Beijing,East Asia & Pacific,Upper middle income,2016,,62.87,63.24,,,,80.48,9,31,0.8,9,31,0.8,0,52.94,69.35,99.62,52.94,69.35,99.62,100,,42.07,,28,223,8.6,9,1,1,2,3,2,0,8,43.23,57.04,60,,63.48,,6,141,413.5,5,2,1.2,0.6,3,1,1,1,0,0,14.3,50,46.52,94.89,62.5,,76.69,76.69,,5,13,4.6,23,23,7,4.5,4,7.5,0,66.67,94.26,69.18,76.67,76.67,,50,,,4,,6,89.5,0,,10,,,33.33,75,,55,,10,1,,4,6,3,9,5,6,,6,100,10,,40,60,30,90,,60.12,63.87,9,261,68.8,10.6,50,8.2,No VAT refund per case study scenario,No VAT refund per case study scenario,4,0,48.85,90,67.23,34.38,0,0,95.41,100,,68.16,,,,,,,,30,80,29,117,78,196,425,690,,,,,,,82.95,66.95,82.1,58.37,80.51,71.94,59.93,42.5,,77.26,77.26,,,510,30,240,240,17.5,10,5,2.5,15,15,5,5,4,3,3,,68.03,80.43,83.33,83.33,,55.43,,0,1.7,22,36.2,11.5,3,5,2.5,1,38.99,71.88
CHN_Beij,China Beijing,East Asia & Pacific,Upper middle income,2017,,64.53,,,,,84.18,7,28,0.7,7,28,0.7,0,64.71,72.36,99.64,64.71,72.36,99.64,100,,42.4,,28,223,8.3,9,1,1,2,3,2,0,8,43.23,58.37,60,,63.55,,6,141,390.6,5,2,1.2,0.6,3,1,1,1,0,0,13.9,50,46.52,95.18,62.5,,76.69,,,5,13,4.6,23,23,7,4.5,4,7.5,0,66.67,94.26,69.18,76.67,76.67,,60,,,4,,8,91.1,0,,12,,,33.33,100,,55,,10,1,,4,6,3,9,5,6,,6,100,10,,40,60,30,90,,60.39,,9,254,68.8,10.6,50,8.2,No VAT refund per case study scenario,No VAT refund per case study scenario,4,0,48.85,90,68.32,34.38,0,0,95.41,100,,68.16,,,,,,,,30,80,29,117,78,196,425,690,,,,,,,82.95,66.95,82.1,58.37,80.51,71.94,59.93,42.5,,79.12,,,,510,30,240,240,17.5,10,5,2.5,16,16,5,5,5,3,3,,68.03,80.43,88.89,88.89,,55.82,,0,1.7,22,36.9,11.5,3,5,2.5,1,39.77,71.88
CHN_Beij,China Beijing,East Asia & Pacific,Upper middle income,2018,,64.99,,,,,85.19,7,24,0.7,7,24,0.7,0,64.71,76.38,99.67,64.71,76.38,99.67,100,,43.51,,28,214.5,7.9,9,1,1,2,3,2,0,8,45.68,60.37,60,,63.66,,6,141,356.2,5,2,1.2,0.4,3,1,1,1,0,0,18.7,50,46.52,95.6,62.5,,76.7,,,5,13,4.6,23,23,7,4.5,4,7.5,0,66.67,94.26,69.2,76.67,76.67,,60,,,4,,8,95.3,0,,12,,,33.33,100,,55,,10,1,,4,6,3,9,5,6,,6,100,10,,40,60,30,90,,62.79,,9,207,67.6,11,48.7,7.9,No VAT refund per case study scenario,No VAT refund per case study scenario,3.5,0,49.08,90,75.58,36.5,0,0,96.33,100,,68.16,,,,,,,,30,80,29,117,78,196,425,690,,,,,,,82.95,66.95,82.1,58.37,80.51,71.94,59.93,42.5,,79.12,,,,510,30,240,240,17.5,10,5,2.5,16,16,,5,5,3,3,,68.03,80.43,88.89,88.89,,55.82,,0,1.7,22,36.9,11.5,3,5,2.5,1,39.77,71.88
CHN_Beij,China Beijing,East Asia & Pacific,Upper middle income,2019,,73.59,,,,,93.7,4,8,0,4,8,0,0,82.35,92.46,100,82.35,92.46,100,100,,62.05,,22,137.5,3.7,10,2,1,2,3,2,0,32,67.87,81.67,66.67,,92.01,,3,34,0,6,3,0.8,0.2,3,1,1,1,0,0,17.4,100,93.04,100,75,,82.18,,,3,9,4.6,24,24,8,4.5,4,7.5,0,83.33,96.17,69.21,80,80,,60,,,4,,8,98.1,0,,12,,,33.33,100,,60,,10,1,,5,7,4,9,5.3,6.7,,6,100,10,,50,70,40,90,,69.02,,7,142,61.4,12.7,40.8,7.9,No VAT refund per case study scenario,No VAT refund per case study scenario,1,0,50,93.33,85.63,47.13,0,0,100,100,,82.01,,,,,,,,10,24,29,48,78,125,325,315,,,,,,,94.67,90.38,82.1,83.15,80.51,82.14,69.34,73.75,,79.12,,,,510,30,240,240,17.5,10,5,2.5,16,16,,5,5,3,3,,68.03,80.43,88.89,88.89,,55.82,,0,1.7,22,36.9,11.5,3,5,2.5,1,39.77,71.88
CHN,China Shanghai,East Asia & Pacific,Upper middle income,2004,,,,,,,46.65,11,46,17.7,11,46,17.7,1236.5,41.18,54.27,91.17,41.18,54.27,91.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.98,37,421,,,,11.1,,,,,,,,,,,50,75.33,87.63,,,,,34.12,0,2.4,22,31.7,,,,,,34.12,
CHN,China Shanghai,East Asia & Pacific,Upper middle income,2005,,,,,,,46.89,11,46,15.8,11,46,15.8,1104.2,41.18,54.27,92.12,41.18,54.27,92.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.35,5,32,5.7,,,,,,,,66.67,85.17,62.23,,,,,18.75,3,,0,,0.4,0,3,,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.98,37,421,,,,11.1,,,,,,,,,,,50,75.33,87.63,,,,,34.12,0,2.4,22,31.7,,,,,,34.12,
CHN,China Shanghai,East Asia & Pacific,Upper middle income,2006,,,,,,,54.42,11,46,13.5,11,46,13.5,284,41.18,54.27,93.24,41.18,54.27,93.24,29,,,0,37,404,24,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,71.37,5,32,5.7,,,,,,,,66.67,85.17,62.29,,,,,18.75,3,,0,,0.4,0,3,,30,0,,,,,43.33,10,1,2,,,,,,,4,,100,10,20,,,,,,,15.93,37,832,82.8,27.9,46.9,8,,,,,,43.33,0,4.45,,,,,,,70.53,8,6,578,638,23,26,,,,,,,,,33.33,69.23,96.33,95.22,64.58,64.52,,,,,,,,,,,,70.98,37,421,,,,11.1,,,,,,,,,,,50,75.33,87.63,,,,,33.91,0,2.4,22,31.5,,,,,,33.91,
CHN,China Shanghai,East Asia & Pacific,Upper middle income,2007,,,,,,,62.66,11,33,9.2,11,33,9.2,213.1,41.18,67.34,95.38,41.18,67.34,95.38,46.73,,,1.52,37,390,19.1,,,,,,,,0,0,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,72.61,5,32,5.1,,,,,,,,66.67,85.17,65.99,,,,,43.75,3,,4,,10.2,0,7,,30,66.67,,,,,50,10,1,4,,,,,,,5,,100,10,40,,,,,,,15.1,37,832,83.6,27.6,48.1,8,,,,,,43.33,0,1.97,,,,,,,71.92,8,6,557,614,21,24,,,,,,,,,33.33,69.23,96.81,95.64,68.75,67.74,,,,,,,,,,,,69.48,37,421,,,,15.1,,,,,,,,,,,50,75.33,83.13,,,,,33.91,0,2.4,22,31.5,,,,,,33.91,
CHN,China Shanghai,East Asia & Pacific,Upper middle income,2008,,,,,,,64.2,11,33,8.3,11,33,8.3,190.2,41.18,67.34,95.83,41.18,67.34,95.83,52.46,,,4.65,37,390,17.2,,,,,,,,0,0,13.96,,,,,,,,,,,,,,,,,,,,,,,,,,72.53,5,32,5.1,,,,,,,,66.67,85.17,65.75,,,,,50,4,,4,,7.8,0,8,,40,66.67,,,,,50,10,1,4,,,,,,,5,,100,10,40,,,,,,,14.44,37,832,84,21.4,54.7,8,,,,,,43.33,0,0,,,,,,,72.06,8,6,536,591,21,24,,,,,,,,,33.33,69.23,97.25,96.04,68.75,67.74,,,,,,,,,,,,69.48,37,421,,,,15.1,,,,,,,,,,,50,75.33,83.13,,,,,38.67,0,1.7,22,35.9,,,,,,38.67,
CHN,China Shanghai,East Asia & Pacific,Upper middle income,2009,,,,,,,63.23,12,39,8.3,12,39,8.3,158.1,35.29,61.31,95.84,35.29,61.31,95.84,60.49,,,8.54,37,390,14.9,,,,,,,,0,0,25.62,,,,,,,,,,,,,,,,,,,,,,,,,,72.48,5,32,5.2,,,,,,,,66.67,85.17,65.61,,,,,56.25,5,,4,,10.1,0,9,,50,66.67,,,,,50,10,1,4,,,,,,,5,,100,10,40,,,,,,,42.4,11,464,82.7,14.8,58.9,9,,,,,,86.67,35.86,4.68,,,,,,,71.56,8,6,588,696,21,24,,,,,,,,,33.33,69.23,96.12,94.17,68.75,67.74,,,,,,,,,,,,69.48,37,421,,,,15.1,,,,,,,,,,,50,75.33,83.13,,,,,37.97,0,1.7,22,35.3,,,,,,37.97,
CHN,China Shanghai,East Asia & Pacific,Upper middle income,2010,,,,,54.89,,66.11,12,36,4.9,12,36,4.9,130.9,35.29,64.32,97.57,35.29,64.32,97.57,67.27,,,11.83,37,390,12.9,,,,,,,,0,0,35.49,,,,67.04,5,145,835.7,,,,,,,,,,,,66.67,44.78,89.68,,,,,72.5,5,32,5.1,,,,,,,,66.67,85.17,65.68,,,,,56.25,5,,4,,13.7,0,9,,50,66.67,,,,,50,10,1,4,,,,,,,5,,100,10,40,,,,,,,44.75,9,463.8,81.4,5.5,68,7.9,,,,,,90,35.88,8.38,,,,,,,72.97,8,5,593,646,21,24,,,,,,,,,33.33,76.92,96.02,95.07,68.75,67.74,,,,,,,,,,,,69.48,37,421,,,,15.1,,,,,,,,,,,50,75.33,83.13,,,,,37.97,0,1.7,22,35.3,,,,,,37.97,
CHN,China Shanghai,East Asia & Pacific,Upper middle income,2011,,,,,56.84,,66.95,12,36,4.5,12,36,4.5,118.3,35.29,64.32,97.77,35.29,64.32,97.77,70.42,,,13.39,37,390,12,,,,,,,,0,0,40.17,,,,67.38,5,145,755.2,,,,,,,,,,,,66.67,44.78,90.68,,,,,72.51,5,32,5.1,,,,,,,,66.67,85.17,65.71,,,,,56.25,5,,4,,16.9,0,9,,50,66.67,,,,,50,10,1,4,,,,,,,5,,100,10,40,,,,,,,60.3,9,358,66.3,8.8,49.6,7.9,,,,,,90,52.24,38.66,,,,,,,72.95,8,5,596,650,21,24,,,,,,,,,33.33,76.92,95.94,95,68.75,67.74,,,,,,,,,,,,69.48,37,421,,,,15.1,,,,,,,,,,,50,75.33,83.13,,,,,39.17,0,1.7,22,36.4,,,,,,39.17,
