Country,Year,Energy use (kg of oil equivalent per capita),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Individuals using the Internet (% of population),"International migrant stock, total"
zambia,1971,835.8649609,,,
zimbabwe,1971,993.1237678,,,
aruba,1972,,,,
afghanistan,1972,,,,
angola,1972,663.4527487,,,
albania,1972,865.5924812,,,
andorra,1972,,,,
arab world,1972,412.7256819,,,
united arab emirates,1972,3175.802329,,,
argentina,1972,1387.082272,,,
armenia,1972,,,,
american samoa,1972,,,,
antigua and barbuda,1972,,,,
australia,1972,4035.206344,,,
austria,1972,2627.322496,,,
azerbaijan,1972,,,,
burundi,1972,,,,
belgium,1972,4473.929513,,,
benin,1972,380.2781407,,,
burkina faso,1972,,,,
bangladesh,1972,88.14653443,,,
bulgaria,1972,2262.786549,,,
bahrain,1972,5971.473457,,,
"bahamas, the",1972,,,,
bosnia and herzegovina,1972,,,,
belarus,1972,,,,
belize,1972,,,,
bermuda,1972,,,,
bolivia,1972,240.9434071,,,
brazil,1972,749.0078824,,,
barbados,1972,,,,
brunei darussalam,1972,1235.379026,,,
bhutan,1972,,,,
botswana,1972,,,,
central african republic,1972,,,,
canada,1972,6863.444335,,,
central europe and the baltics,1972,2666.458767,,,
switzerland,1972,2727.719217,,,
channel islands,1972,,,,
chile,1972,874.767832,,,
china,1972,477.1687087,,,
cote d'ivoire,1972,467.1910414,,,
cameroon,1972,401.1710487,,,
"congo, dem. rep.",1972,324.3879195,,,
"congo, rep.",1972,374.4896987,,,
colombia,1972,615.7444177,,,
comoros,1972,,,,
cabo verde,1972,,,,
costa rica,1972,443.8492744,,,
caribbean small states,1972,,,,
cuba,1972,1118.906479,,,
curacao,1972,36146.69961,,,
cayman islands,1972,,,,
cyprus,1972,1188.663021,,,
czech republic,1972,4613.780591,,,
germany,1972,4017.337385,,,
djibouti,1972,,,,
dominica,1972,,,,
denmark,1972,3858.592122,,,
dominican republic,1972,573.9124236,,,
algeria,1972,263.0235922,,,
east asia & pacific (excluding high income),1972,452.5511894,,,
early-demographic dividend,1972,400.6748783,,,
east asia & pacific,1972,678.4978352,,,
europe & central asia (excluding high income),1972,,,,
europe & central asia,1972,,,,
ecuador,1972,360.5629719,,,
"egypt, arab rep.",1972,238.2470776,,,
euro area,1972,2921.227921,,,
eritrea,1972,,,,
spain,1972,1295.60968,,,
estonia,1972,,,,
ethiopia,1972,473.7753844,,,
european union,1972,3014.557792,,,
fragile and conflict affected situations,1972,413.0331842,,,
finland,1972,4188.160677,,,
fiji,1972,,,,
france,1972,3170.748895,,,
faroe islands,1972,,,,
"micronesia, fed. sts.",1972,,,,
gabon,1972,1711.283562,,,
united kingdom,1972,3747.962475,,,
georgia,1972,,,,
ghana,1972,343.4101537,,,
gibraltar,1972,833.9123919,,,
guinea,1972,,,,
"gambia, the",1972,,,,
guinea-bissau,1972,,,,
equatorial guinea,1972,,,,
greece,1972,1134.786493,,,
grenada,1972,,,,
greenland,1972,,,,
guatemala,1972,474.6116639,,,
guam,1972,,,,
guyana,1972,,,,
high income,1972,4128.598573,,,
"hong kong sar, china",1972,760.612814,,,
honduras,1972,492.892888,,,
heavily indebted poor countries (hipc),1972,,,,
croatia,1972,,,,
haiti,1972,320.387354,,,
hungary,1972,1880.538798,,,
ibrd only,1972,516.1372813,,,
ida & ibrd total,1972,493.9698819,,,
ida total,1972,367.5177033,,,
ida blend,1972,452.9369192,,,
indonesia,1972,301.46307,,,
ida only,1972,316.864262,,,
isle of man,1972,,,,
india,1972,267.3087413,,,
not classified,1972,,,,
ireland,1972,2194.513065,,,
"iran, islamic rep.",1972,541.4670053,,,
iraq,1972,404.4811592,,,
iceland,1972,4403.969647,,,
israel,1972,1756.331004,,,
italy,1972,2050.737877,,,
jamaica,1972,1325.145471,,,
jordan,1972,286.4376956,,,
japan,1972,2667.04675,,,
kazakhstan,1972,,,,
kenya,1972,455.6003638,,,
kyrgyz republic,1972,,,,
cambodia,1972,,,,
kiribati,1972,,,,
st. kitts and nevis,1972,,,,
"korea, rep.",1972,551.2581164,,,
kuwait,1972,7938.604276,,,
latin america & caribbean (excluding high income),1972,811.4689816,,,
lao pdr,1972,,,,
lebanon,1972,789.2086146,,,
liberia,1972,,,,
libya,1972,944.2102866,,,
st. lucia,1972,,,,
latin america & caribbean,1972,840.2447381,,,
least developed countries: un classification,1972,318.2685666,,,
low income,1972,,,,
liechtenstein,1972,,,,
sri lanka,1972,311.1299899,,,
lower middle income,1972,298.4924054,,,
low & middle income,1972,469.9533388,,,
lesotho,1972,,,,
late-demographic dividend,1972,615.634504,,,
lithuania,1972,,,,
luxembourg,1972,12009.57011,,,
latvia,1972,,,,
"macao sar, china",1972,,,,
st. martin (french part),1972,,,,
morocco,1972,190.6381254,,,
monaco,1972,,,,
moldova,1972,,,,
madagascar,1972,,,,
maldives,1972,,,,
middle east & north africa,1972,463.7235572,,,
mexico,1972,869.1907578,,,
marshall islands,1972,,,,
middle income,1972,467.4811901,,,
north macedonia,1972,,,,
mali,1972,,,,
malta,1972,873.0335593,,,
myanmar,1972,281.4107351,,,
middle east & north africa (excluding high income),1972,339.0400111,,,
montenegro,1972,,,,
mongolia,1972,,,,
northern mariana islands,1972,,,,
mozambique,1972,716.3028888,,,
mauritania,1972,,,,
mauritius,1972,435.4247917,,,
malawi,1972,,,,
malaysia,1972,541.0164375,,,
north america,1972,7837.852245,,,
namibia,1972,,,,
new caledonia,1972,,,,
niger,1972,,,,
nigeria,1972,585.4219378,,,
nicaragua,1972,486.2623544,,,
netherlands,1972,4381.041795,,,
norway,1972,3503.429948,,,
nepal,1972,298.6919004,,,
nauru,1972,,,,
new zealand,1972,2617.161059,,,
oecd members,1972,3904.701652,,,
oman,1972,112.054664,,,
other small states,1972,,,,
pakistan,1972,284.9748412,,,
panama,1972,1159.717402,,,
peru,1972,641.9884712,,,
philippines,1972,406.528255,,,
palau,1972,,,,
papua new guinea,1972,,,,
poland,1972,2693.745275,,,
pre-demographic dividend,1972,511.1233706,,,
puerto rico,1972,,,,
"korea, dem. people’s rep.",1972,1325.18809,,,
portugal,1972,745.2839546,,,
paraguay,1972,540.5024115,,,
west bank and gaza,1972,,,,
pacific island small states,1972,,,,
post-demographic dividend,1972,4304.417165,,,
french polynesia,1972,,,,
qatar,1972,7803.02682,,,
romania,1972,2131.639736,,,
russian federation,1972,,,,
rwanda,1972,,,,
south asia,1972,253.8501593,,,
saudi arabia,1972,977.7588507,,,
sudan,1972,485.0189347,,,
senegal,1972,278.5060358,,,
singapore,1972,1569.470823,,,
solomon islands,1972,,,,
sierra leone,1972,,,,
el salvador,1972,484.3186826,,,
san marino,1972,,,,
somalia,1972,,,,
serbia,1972,,,,
sub-saharan africa (excluding high income),1972,667.2701759,,,
south sudan,1972,,,,
sub-saharan africa,1972,667.2701759,,,
small states,1972,,,,
sao tome and principe,1972,,,,
suriname,1972,,,,
slovak republic,1972,3224.519441,,,
slovenia,1972,,,,
sweden,1972,4527.21372,,,
eswatini,1972,,,,
sint maarten (dutch part),1972,,,,
seychelles,1972,,,,
syrian arab republic,1972,291.0985228,,,
turks and caicos islands,1972,,,,
chad,1972,,,,
east asia & pacific (ida & ibrd countries),1972,440.9656943,,,
europe & central asia (ida & ibrd countries),1972,,,,
togo,1972,332.0408332,,,
thailand,1972,367.8963121,,,
tajikistan,1972,,,,
turkmenistan,1972,,,,
latin america & the caribbean (ida & ibrd countries),1972,813.2134895,,,
timor-leste,1972,,,,
middle east & north africa (ida & ibrd countries),1972,339.0400111,,,
tonga,1972,,,,
south asia (ida & ibrd),1972,253.8501593,,,
sub-saharan africa (ida & ibrd countries),1972,667.2701759,,,
trinidad and tobago,1972,2774.618442,,,
tunisia,1972,341.9307177,,,
turkey,1972,603.2856081,,,
tuvalu,1972,,,,
tanzania,1972,529.9088461,,,
uganda,1972,,,,
ukraine,1972,,,,
upper middle income,1972,611.0905955,,,
uruguay,1972,872.9789283,,,
united states,1972,7940.997832,,,
uzbekistan,1972,,,,
st. vincent and the grenadines,1972,,,,
"venezuela, rb",1972,1427.24911,,,
british virgin islands,1972,,,,
virgin islands (u.s.),1972,,,,
vietnam,1972,292.9831312,,,
vanuatu,1972,,,,
world,1972,1371.819984,,,
samoa,1972,,,,
kosovo,1972,,,,
"yemen, rep.",1972,90.21630921,,,
south africa,1972,1984.179676,,,
zambia,1972,860.5412597,,,
zimbabwe,1972,976.5577923,,,
aruba,1973,,,,
afghanistan,1973,,,,
angola,1973,635.7876189,,,
albania,1973,762.7253617,,,
andorra,1973,,,,
arab world,1973,442.9822008,,,
united arab emirates,1973,3306.778098,,,
argentina,1973,1420.335931,,,
armenia,1973,,,,
american samoa,1973,,,,
antigua and barbuda,1973,,,,
australia,1973,4264.271226,,,
austria,1973,2830.946802,,,
azerbaijan,1973,,,,
burundi,1973,,,,
belgium,1973,4720.784112,,,
benin,1973,379.7217115,,,
burkina faso,1973,,,,
bangladesh,1973,93.92631576,,,
bulgaria,1973,2378.253739,,,
bahrain,1973,8495.334555,,,
"bahamas, the",1973,,,,
bosnia and herzegovina,1973,,,,
belarus,1973,,,,
belize,1973,,,,
bermuda,1973,,,,
bolivia,1973,249.3247384,,,
brazil,1973,801.676699,,,
barbados,1973,,,,
brunei darussalam,1973,2319.334465,,,
bhutan,1973,,,,
botswana,1973,,,,
central african republic,1973,,,,
canada,1973,7084.623683,,,
central europe and the baltics,1973,2769.254173,,,
switzerland,1973,2998.005183,,,
channel islands,1973,,,,
chile,1973,828.0369759,,,
china,1973,483.7173753,,,
cote d'ivoire,1973,460.6825706,,,
cameroon,1973,399.228879,,,
"congo, dem. rep.",1973,326.9067856,,,
"congo, rep.",1973,367.6297099,,,
colombia,1973,605.701175,,,
comoros,1973,,,,
cabo verde,1973,,,,
costa rica,1973,471.2644428,,,
caribbean small states,1973,,,,
cuba,1973,1175.11203,,,
curacao,1973,40710.11218,,,
cayman islands,1973,,,,
cyprus,1973,1231.209859,,,
czech republic,1973,4551.296952,,,
germany,1973,4240.061862,,,
djibouti,1973,,,,
dominica,1973,,,,
denmark,1973,3781.757201,,,
dominican republic,1973,586.9122509,,,
algeria,1973,306.9647816,,,
east asia & pacific (excluding high income),1973,459.5214361,,,
early-demographic dividend,1973,417.7432456,,,
east asia & pacific,1973,710.9953173,,,
europe & central asia (excluding high income),1973,,,,
europe & central asia,1973,,,,
ecuador,1973,355.529073,,,
"egypt, arab rep.",1973,217.0403773,,,
euro area,1973,3108.961437,,,
eritrea,1973,,,,
spain,1973,1473.952331,,,
estonia,1973,,,,
ethiopia,1973,474.197934,,,
european union,1973,3176.263299,,,
fragile and conflict affected situations,1973,422.1395447,,,
finland,1973,4507.556984,,,
fiji,1973,,,,
france,1973,3385.509934,,,
faroe islands,1973,,,,
"micronesia, fed. sts.",1973,,,,
gabon,1973,2315.148013,,,
united kingdom,1973,3880.650174,,,
georgia,1973,,,,
ghana,1973,354.4294677,,,
gibraltar,1973,957.301855,,,
guinea,1973,,,,
"gambia, the",1973,,,,
guinea-bissau,1973,,,,
equatorial guinea,1973,,,,
greece,1973,1322.763942,,,
grenada,1973,,,,
greenland,1973,,,,
guatemala,1973,482.5316609,,,
guam,1973,,,,
guyana,1973,,,,
high income,1973,4318.222959,,,
"hong kong sar, china",1973,747.5792154,,,
honduras,1973,496.8869875,,,
heavily indebted poor countries (hipc),1973,,,,
croatia,1973,,,,
haiti,1973,323.1508806,,,
hungary,1973,2039.367028,,,
ibrd only,1973,531.3405701,,,
ida & ibrd total,1973,507.5769374,,,
ida total,1973,372.2974712,,,
ida blend,1973,460.4724795,,,
indonesia,1973,307.1827387,,,
ida only,1973,319.8417013,,,
isle of man,1973,,,,
india,1973,268.6027422,,,
not classified,1973,,,,
ireland,1973,2238.471783,,,
"iran, islamic rep.",1973,667.8315756,,,
iraq,1973,424.8503866,,,
iceland,1973,5268.965745,,,
israel,1973,2368.436852,,,
italy,1973,2175.587546,,,
jamaica,1973,1482.772014,,,
jordan,1973,315.4818055,,,
japan,1973,2964.208218,,,
kazakhstan,1973,,,,
kenya,1973,450.8967964,,,
kyrgyz republic,1973,,,,
cambodia,1973,,,,
kiribati,1973,,,,
st. kitts and nevis,1973,,,,
"korea, rep.",1973,632.250969,,,
kuwait,1973,7871.631507,,,
latin america & caribbean (excluding high income),1973,853.8698869,,,
lao pdr,1973,,,,
lebanon,1973,958.2730143,,,
liberia,1973,,,,
libya,1973,1068.848156,,,
st. lucia,1973,,,,
latin america & caribbean,1973,880.3033617,,,
least developed countries: un classification,1973,320.1150655,,,
low income,1973,,,,
liechtenstein,1973,,,,
sri lanka,1973,311.9240696,,,
lower middle income,1973,302.223147,,,
low & middle income,1973,483.341225,,,
lesotho,1973,,,,
late-demographic dividend,1973,630.5898268,,,
lithuania,1973,,,,
luxembourg,1973,12648.56042,,,
latvia,1973,,,,
"macao sar, china",1973,,,,
st. martin (french part),1973,,,,
morocco,1973,206.7103428,,,
monaco,1973,,,,
moldova,1973,,,,
madagascar,1973,,,,
maldives,1973,,,,
middle east & north africa,1973,528.9925553,,,
mexico,1973,933.0938192,,,
marshall islands,1973,,,,
middle income,1973,481.5072125,,,
north macedonia,1973,,,,
mali,1973,,,,
malta,1973,844.4771674,,,
myanmar,1973,270.7904271,,,
middle east & north africa (excluding high income),1973,379.7908402,,,
montenegro,1973,,,,
mongolia,1973,,,,
northern mariana islands,1973,,,,
mozambique,1973,703.1311588,,,
mauritania,1973,,,,
mauritius,1973,439.0213444,,,
malawi,1973,,,,
malaysia,1973,523.5764284,,,
north america,1973,8060.070944,,,
namibia,1973,,,,
new caledonia,1973,,,,
niger,1973,,,,
nigeria,1973,597.0965801,,,
nicaragua,1973,511.3591963,,,
netherlands,1973,4613.271339,,,
norway,1973,3608.101223,,,
nepal,1973,301.3337944,,,
nauru,1973,,,,
new zealand,1973,2662.050789,,,
oecd members,1973,4080.040915,,,
oman,1973,119.6786561,,,
other small states,1973,,,,
pakistan,1973,291.1049432,,,
panama,1973,1230.686083,,,
peru,1973,650.7430805,,,
philippines,1973,439.9919667,,,
palau,1973,,,,
papua new guinea,1973,,,,
poland,1973,2784.332708,,,
pre-demographic dividend,1973,513.4825491,,,
puerto rico,1973,,,,
"korea, dem. people’s rep.",1973,1320.442283,,,
portugal,1973,798.8351809,,,
paraguay,1973,571.3044306,,,
west bank and gaza,1973,,,,
pacific island small states,1973,,,,
post-demographic dividend,1973,4502.928203,,,
french polynesia,1973,,,,
qatar,1973,10075.33794,,,
romania,1973,2295.811018,,,
russian federation,1973,,,,
rwanda,1973,,,,
south asia,1973,256.0962188,,,
saudi arabia,1973,1077.61412,,,
sudan,1973,484.5726183,,,
senegal,1973,282.9825832,,,
singapore,1973,1711.835841,,,
solomon islands,1973,,,,
sierra leone,1973,,,,
el salvador,1973,499.3587722,,,
san marino,1973,,,,
somalia,1973,,,,
serbia,1973,,,,
sub-saharan africa (excluding high income),1973,677.8030753,,,
south sudan,1973,,,,
sub-saharan africa,1973,677.8030753,,,
small states,1973,,,,
sao tome and principe,1973,,,,
suriname,1973,,,,
slovak republic,1973,3343.354494,,,
slovenia,1973,,,,
sweden,1973,4773.811403,,,
eswatini,1973,,,,
sint maarten (dutch part),1973,,,,
seychelles,1973,,,,
syrian arab republic,1973,292.4838846,,,
turks and caicos islands,1973,,,,
chad,1973,,,,
east asia & pacific (ida & ibrd countries),1973,448.0743518,,,
europe & central asia (ida & ibrd countries),1973,,,,
togo,1973,324.0000955,,,
thailand,1973,388.6333777,,,
tajikistan,1973,,,,
turkmenistan,1973,,,,
latin america & the caribbean (ida & ibrd countries),1973,851.0926774,,,
timor-leste,1973,,,,
middle east & north africa (ida & ibrd countries),1973,379.7908402,,,
tonga,1973,,,,
south asia (ida & ibrd),1973,256.0962188,,,
sub-saharan africa (ida & ibrd countries),1973,677.8030753,,,
trinidad and tobago,1973,2687.112148,,,
tunisia,1973,348.6615657,,,
turkey,1973,649.9426404,,,
tuvalu,1973,,,,
tanzania,1973,516.2393792,,,
uganda,1973,,,,
ukraine,1973,,,,
upper middle income,1973,633.9861754,,,
uruguay,1973,845.7175943,,,
united states,1973,8163.603792,,,
uzbekistan,1973,,,,
st. vincent and the grenadines,1973,,,,
"venezuela, rb",1973,1530.964889,,,
british virgin islands,1973,,,,
virgin islands (u.s.),1973,,,,
vietnam,1973,299.4674974,,,
vanuatu,1973,,,,
world,1973,1418.145155,,,
samoa,1973,,,,
kosovo,1973,,,,
"yemen, rep.",1973,149.310948,,,
south africa,1973,2056.773235,,,
zambia,1973,879.5548307,,,
zimbabwe,1973,998.2625934,,,
aruba,1974,,,,
afghanistan,1974,,,,
angola,1974,624.1106106,,,
albania,1974,776.934749,,,
andorra,1974,,,,
arab world,1974,459.8052513,,,
united arab emirates,1974,2869.173453,,,
argentina,1974,1425.813346,,,
armenia,1974,,,,
american samoa,1974,,,,
antigua and barbuda,1974,,,,
australia,1974,4294.161626,,,
austria,1974,2730.437326,,,
azerbaijan,1974,,,,
burundi,1974,,,,
belgium,1974,4617.498595,,,
benin,1974,379.0357193,,,
burkina faso,1974,,,,
bangladesh,1974,95.45436209,,,
bulgaria,1974,2463.244052,,,
bahrain,1974,9009.062725,,,
"bahamas, the",1974,,,,
bosnia and herzegovina,1974,,,,
belarus,1974,,,,
belize,1974,,,,
bermuda,1974,,,,
bolivia,1974,261.213709,,,
brazil,1974,833.1969708,,,
barbados,1974,,,,
brunei darussalam,1974,3829.421172,,,
bhutan,1974,,,,
botswana,1974,,,,
central african republic,1974,,,,
canada,1974,7089.999991,,,
central europe and the baltics,1974,2785.949666,,,
switzerland,1974,2783.514537,,,
channel islands,1974,,,,
chile,1974,809.2255694,,,
china,1974,486.1679858,,,
cote d'ivoire,1974,458.9175312,,,
cameroon,1974,399.1779269,,,
"congo, dem. rep.",1974,326.9013797,,,
"congo, rep.",1974,363.9604438,,,
colombia,1974,627.469615,,,
comoros,1974,,,,
cabo verde,1974,,,,
costa rica,1974,449.7505436,,,
caribbean small states,1974,,,,
cuba,1974,1225.655875,,,
curacao,1974,37557.34036,,,
cayman islands,1974,,,,
cyprus,1974,924.7569793,,,
czech republic,1974,4194.684185,,,
germany,1974,4158.271626,,,
djibouti,1974,,,,
dominica,1974,,,,
denmark,1974,3489.606459,,,
dominican republic,1974,601.5782413,,,
algeria,1974,321.1613704,,,
east asia & pacific (excluding high income),1974,461.1830313,,,
early-demographic dividend,1974,428.0220553,,,
east asia & pacific,1974,710.86902,,,
europe & central asia (excluding high income),1974,,,,
europe & central asia,1974,,,,
ecuador,1974,418.8181289,,,
"egypt, arab rep.",1974,237.8468037,,,
euro area,1974,3065.668863,,,
eritrea,1974,,,,
spain,1974,1580.126019,,,
estonia,1974,,,,
ethiopia,1974,473.7815897,,,
european union,1974,3122.462264,,,
fragile and conflict affected situations,1974,426.3692941,,,
finland,1974,4383.848118,,,
fiji,1974,,,,
france,1974,3253.331374,,,
faroe islands,1974,,,,
"micronesia, fed. sts.",1974,,,,
gabon,1974,2478.90639,,,
united kingdom,1974,3734.841652,,,
georgia,1974,,,,
ghana,1974,362.4128946,,,
gibraltar,1974,948.6381583,,,
guinea,1974,,,,
"gambia, the",1974,,,,
guinea-bissau,1974,,,,
equatorial guinea,1974,,,,
greece,1974,1256.348735,,,
grenada,1974,,,,
greenland,1974,,,,
guatemala,1974,482.8466221,,,
guam,1974,,,,
guyana,1974,,,,
high income,1974,4217.561195,,,
"hong kong sar, china",1974,797.4690484,,,
honduras,1974,489.7485943,,,
heavily indebted poor countries (hipc),1974,,,,
croatia,1974,,,,
haiti,1974,330.882685,,,
hungary,1974,2101.987075,,,
ibrd only,1974,540.2336778,,,
ida & ibrd total,1974,515.4242263,,,
ida total,1974,374.6531956,,,
ida blend,1974,464.5910839,,,
indonesia,1974,310.4198686,,,
ida only,1974,320.9360809,,,
isle of man,1974,,,,
india,1974,272.7135495,,,
not classified,1974,,,,
ireland,1974,2268.08988,,,
"iran, islamic rep.",1974,771.9727994,,,
iraq,1974,447.1599431,,,
iceland,1974,5132.197074,,,
israel,1974,1732.933373,,,
italy,1974,2212.206692,,,
jamaica,1974,1366.429816,,,
jordan,1974,323.3653844,,,
japan,1974,2924.245711,,,
kazakhstan,1974,,,,
kenya,1974,450.9891575,,,
kyrgyz republic,1974,,,,
cambodia,1974,,,,
kiribati,1974,,,,
st. kitts and nevis,1974,,,,
"korea, rep.",1974,675.2741086,,,
kuwait,1974,7082.820217,,,
latin america & caribbean (excluding high income),1974,886.8037269,,,
lao pdr,1974,,,,
lebanon,1974,963.8742531,,,
liberia,1974,,,,
libya,1974,1142.273131,,,
st. lucia,1974,,,,
latin america & caribbean,1974,908.652144,,,
least developed countries: un classification,1974,318.5348706,,,
low income,1974,,,,
liechtenstein,1974,,,,
sri lanka,1974,290.8889726,,,
lower middle income,1974,305.2974938,,,
low & middle income,1974,490.8940378,,,
lesotho,1974,,,,
late-demographic dividend,1974,636.1702542,,,
lithuania,1974,,,,
luxembourg,1974,13023.88959,,,
latvia,1974,,,,
"macao sar, china",1974,,,,
st. martin (french part),1974,,,,
morocco,1974,219.4319992,,,
monaco,1974,,,,
moldova,1974,,,,
madagascar,1974,,,,
maldives,1974,,,,
middle east & north africa,1974,551.4686335,,,
mexico,1974,964.9512504,,,
marshall islands,1974,,,,
middle income,1974,489.3442031,,,
north macedonia,1974,,,,
mali,1974,,,,
malta,1974,775.4639134,,,
myanmar,1974,275.4553451,,,
middle east & north africa (excluding high income),1974,419.5484278,,,
montenegro,1974,,,,
mongolia,1974,,,,
northern mariana islands,1974,,,,
mozambique,1974,680.5458584,,,
mauritania,1974,,,,
mauritius,1974,449.4215539,,,
malawi,1974,,,,
malaysia,1974,577.9533226,,,
north america,1974,7830.599969,,,
namibia,1974,,,,
new caledonia,1974,,,,
niger,1974,,,,
nigeria,1974,600.3912598,,,
nicaragua,1974,520.4406531,,,
netherlands,1974,4501.414317,,,
norway,1974,3580.59955,,,
nepal,1974,300.8832359,,,
nauru,1974,,,,
new zealand,1974,2882.552502,,,
oecd members,1974,3985.300626,,,
oman,1974,177.0212008,,,
other small states,1974,,,,
pakistan,1974,299.8838258,,,
panama,1974,1177.656508,,,
peru,1974,670.0308416,,,
philippines,1974,428.8934993,,,
palau,1974,,,,
papua new guinea,1974,,,,
poland,1974,2882.11696,,,
pre-demographic dividend,1974,512.0504479,,,
puerto rico,1974,,,,
"korea, dem. people’s rep.",1974,1348.716637,,,
portugal,1974,824.3612187,,,
paraguay,1974,553.2235705,,,
west bank and gaza,1974,,,,
pacific island small states,1974,,,,
post-demographic dividend,1974,4397.140819,,,
french polynesia,1974,,,,
qatar,1974,8013.162263,,,
romania,1974,2285.590208,,,
russian federation,1974,,,,
rwanda,1974,,,,
south asia,1974,259.962834,,,
saudi arabia,1974,1147.217136,,,
sudan,1974,474.5757525,,,
senegal,1974,282.5132729,,,
singapore,1974,1795.979012,,,
solomon islands,1974,,,,
sierra leone,1974,,,,
el salvador,1974,498.5180752,,,
san marino,1974,,,,
somalia,1974,,,,
serbia,1974,,,,
sub-saharan africa (excluding high income),1974,677.6664003,,,
south sudan,1974,,,,
sub-saharan africa,1974,677.6664003,,,
small states,1974,,,,
sao tome and principe,1974,,,,
suriname,1974,,,,
slovak republic,1974,3464.066088,,,
slovenia,1974,,,,
sweden,1974,4510.443011,,,
eswatini,1974,,,,
sint maarten (dutch part),1974,,,,
seychelles,1974,,,,
syrian arab republic,1974,363.4115991,,,
turks and caicos islands,1974,,,,
chad,1974,,,,
east asia & pacific (ida & ibrd countries),1974,449.3710695,,,
europe & central asia (ida & ibrd countries),1974,,,,
togo,1974,316.5543732,,,
thailand,1974,386.4210172,,,
tajikistan,1974,,,,
turkmenistan,1974,,,,
latin america & the caribbean (ida & ibrd countries),1974,880.6840619,,,
timor-leste,1974,,,,
middle east & north africa (ida & ibrd countries),1974,419.5484278,,,
tonga,1974,,,,
south asia (ida & ibrd),1974,259.962834,,,
sub-saharan africa (ida & ibrd countries),1974,677.6664003,,,
trinidad and tobago,1974,2684.027886,,,
tunisia,1974,379.8527384,,,
turkey,1974,656.8470709,,,
tuvalu,1974,,,,
tanzania,1974,498.2286625,,,
uganda,1974,,,,
ukraine,1974,,,,
upper middle income,1974,646.2484637,,,
uruguay,1974,832.3462915,,,
united states,1974,7909.58648,,,
uzbekistan,1974,,,,
st. vincent and the grenadines,1974,,,,
"venezuela, rb",1974,1759.029114,,,
british virgin islands,1974,,,,
virgin islands (u.s.),1974,,,,
vietnam,1974,274.6062687,,,
vanuatu,1974,,,,
world,1974,1390.500084,,,
samoa,1974,,,,
kosovo,1974,,,,
"yemen, rep.",1974,120.5570318,,,
south africa,1974,2077.144279,,,
zambia,1974,885.5679884,,,
zimbabwe,1974,976.7966667,,,
aruba,1975,,,,57043
afghanistan,1975,,,,56816
angola,1975,586.6904897,,,160287
albania,1975,826.952081,,,10843
andorra,1975,,,,18623
arab world,1975,484.2815132,,,30717
united arab emirates,1975,3533.444221,,,7941
argentina,1975,1389.270131,,,2064199
armenia,1975,,,,..
american samoa,1975,,,,7262
antigua and barbuda,1975,,,,2659453
australia,1975,4345.871446,,,721037
austria,1975,2654.848729,,,..
azerbaijan,1975,,,,27217
burundi,1975,,,0,60092
belgium,1975,4317.935658,,,768579
benin,1975,380.8560976,,,15850
burkina faso,1975,,,,..
bangladesh,1975,96.00967803,,,820201
bulgaria,1975,2665.45943,,,10953
bahrain,1975,8000.645299,,,50383
"bahamas, the",1975,,,,14335
bosnia and herzegovina,1975,,,,15178
belarus,1975,,,,56715
belize,1975,,,,..
bermuda,1975,,,,12507
bolivia,1975,296.0515806,,,1170533
brazil,1975,849.574493,,,3513
barbados,1975,,,,41032
brunei darussalam,1975,4580.704837,,,21513
bhutan,1975,,,,106405
botswana,1975,,,0,139741
central african republic,1975,,,,7685
canada,1975,7170.412528,,,14551
central europe and the baltics,1975,2925.664714,,,215753
switzerland,1975,2710.772924,,,3517845
channel islands,1975,,,,3069
chile,1975,720.5473746,,,52007
china,1975,527.4883375,,,63986
cote d'ivoire,1975,461.611661,,,50280
cameroon,1975,407.4079989,,,85985
"congo, dem. rep.",1975,326.1869836,,,298474
"congo, rep.",1975,359.9014482,,,84796
colombia,1975,641.3963354,,,7098
comoros,1975,,,,1218362
cabo verde,1975,,,,58398
costa rica,1975,475.1631659,,,29169
caribbean small states,1975,,,,1391404
cuba,1975,1241.533267,,,
curacao,1975,25763.47323,,,93317
cayman islands,1975,,,,
cyprus,1975,869.1868116,,,36610
czech republic,1975,4342.960366,,,..
germany,1975,3984.974239,,,138684
djibouti,1975,,,,28941
dominica,1975,,,,1913
denmark,1975,3453.207222,,,215691
dominican republic,1975,598.8381688,,,59315
algeria,1975,332.4141617,,,196071
east asia & pacific (excluding high income),1975,494.0683917,,,30963
early-demographic dividend,1975,436.0969102,,,7282
east asia & pacific,1975,724.4010328,,,9585
europe & central asia (excluding high income),1975,,,,..
europe & central asia,1975,,,,27735
ecuador,1975,449.2148931,,,392082
"egypt, arab rep.",1975,254.0139285,,,2280
euro area,1975,2931.904626,,,15071
eritrea,1975,,,,35352
spain,1975,1607.74131,,,5571664
estonia,1975,,,,12252
ethiopia,1975,471.9518195,,,61887
european union,1975,3042.390962,,,60210
fragile and conflict affected situations,1975,432.5869683,,,..
finland,1975,4181.810657,,,..
fiji,1975,,,,384784
france,1975,3058.736962,,,9436
faroe islands,1975,,,,123472
"micronesia, fed. sts.",1975,,,,8571
gabon,1975,2005.520929,,,2778
united kingdom,1975,3545.817134,,,43897
georgia,1975,,,,38201
ghana,1975,366.4810525,,,20615
gibraltar,1975,1039.378721,,,12551
guinea,1975,,,,8979
"gambia, the",1975,,,,12118
guinea-bissau,1975,,,,14434
